FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
27.000000,35.330872,0.967721,-0.336638,-0.536148,-0.714282,-0.861998,-0.848679,-0.747052,-0.629356,-0.469630,-0.058234,-0.094634,-0.111696,-0.073731,0.026825,0.075279,0.113287,0.132291,0.131571,1.356851,1.356128,1.356914,1.356632,1.356994,1.355583,1.356301,1.357055,1.356797,1.356650,1.356843,1.357270,1.356303,1.356964
28.000000,35.331909,0.964725,-0.335098,-0.534321,-0.711828,-0.859144,-0.845883,-0.745238,-0.627697,-0.468134,-0.058865,-0.095188,-0.112167,-0.074119,0.026615,0.074832,0.112492,0.131568,0.130794,1.354714,1.353953,1.354662,1.354473,1.354730,1.353410,1.354039,1.354965,1.354515,1.354455,1.354687,1.354986,1.354227,1.354813
29.000000,35.329815,0.966002,-0.335979,-0.536006,-0.713584,-0.861827,-0.848436,-0.747806,-0.629963,-0.466626,-0.059917,-0.096544,-0.113691,-0.075405,0.026091,0.074120,0.111874,0.130929,0.130079,1.359649,1.358829,1.359474,1.359264,1.359526,1.358245,1.358782,1.359740,1.359197,1.359109,1.359414,1.359843,1.359102,1.359592
30.000000,35.329872,0.970983,-0.338063,-0.538994,-0.717300,-0.866042,-0.852524,-0.751315,-0.632820,-0.469674,-0.059757,-0.095852,-0.113332,-0.074871,0.026734,0.074901,0.112783,0.131839,0.131170,1.365759,1.364958,1.365687,1.365434,1.365734,1.364489,1.364843,1.365880,1.365314,1.365123,1.365387,1.366001,1.365178,1.365636
31.000000,35.327259,0.972704,-0.338889,-0.539958,-0.718658,-0.867357,-0.853765,-0.752251,-0.633401,-0.469949,-0.059348,-0.094727,-0.112242,-0.074290,0.027517,0.075759,0.114327,0.133264,0.132500,1.366995,1.366262,1.367027,1.366692,1.367038,1.365820,1.366181,1.367247,1.366729,1.366428,1.366515,1.367281,1.366405,1.366938
32.000000,35.327229,0.970708,-0.338950,-0.540185,-0.718704,-0.867316,-0.853826,-0.752679,-0.634320,-0.470961,-0.061163,-0.097144,-0.114325,-0.075979,0.026078,0.073804,0.111879,0.131290,0.130444,1.364215,1.363716,1.364251,1.363917,1.364281,1.363067,1.363566,1.364556,1.364147,1.363904,1.363950,1.364658,1.363783,1.364353
33.000000,35.327530,0.972326,-0.337865,-0.539032,-0.717793,-0.866418,-0.853078,-0.751835,-0.633042,-0.468949,-0.059155,-0.096225,-0.113312,-0.074860,0.026913,0.075075,0.113065,0.132365,0.131813,1.365934,1.365368,1.365967,1.365554,1.365911,1.364777,1.365155,1.366251,1.365847,1.365708,1.365745,1.366313,1.365406,1.366003
34.000000,35.324741,0.973442,-0.338327,-0.539347,-0.718296,-0.867080,-0.853763,-0.752440,-0.633423,-0.470406,-0.059327,-0.095924,-0.113019,-0.074998,0.027019,0.075347,0.113570,0.132905,0.132201,1.368175,1.367466,1.368206,1.367734,1.368197,1.366910,1.367295,1.368359,1.367944,1.367845,1.367908,1.368414,1.367587,1.368091
35.000000,35.322884,0.973868,-0.339664,-0.541100,-0.720362,-0.869389,-0.855938,-0.754574,-0.635852,-0.470866,-0.061183,-0.097247,-0.114362,-0.076106,0.026169,0.074185,0.112140,0.131806,0.130980,1.370015,1.369249,1.370003,1.369665,1.370185,1.368843,1.369336,1.370251,1.369877,1.369797,1.369830,1.370461,1.369554,1.370046
36.000000,35.322323,0.975122,-0.339040,-0.540487,-0.720026,-0.868959,-0.855444,-0.753792,-0.634623,-0.467537,-0.059073,-0.095121,-0.112160,-0.074222,0.027756,0.076374,0.114525,0.133782,0.133260,1.371185,1.370613,1.371225,1.370881,1.371502,1.370117,1.370745,1.371519,1.371208,1.371071,1.371218,1.371782,1.371021,1.371356
37.000000,35.320923,0.973376,-0.338200,-0.539611,-0.718850,-0.867745,-0.854233,-0.752802,-0.633819,-0.472995,-0.059531,-0.096027,-0.112888,-0.075100,0.027171,0.075566,0.114123,0.133257,0.132605,1.368790,1.368357,1.368874,1.368494,1.369159,1.367630,1.368305,1.369138,1.368760,1.368542,1.368769,1.369249,1.368568,1.368841
38.000000,35.319580,0.971217,-0.337462,-0.538638,-0.717651,-0.866494,-0.853079,-0.751845,-0.633468,-0.472445,-0.060571,-0.097677,-0.114440,-0.076410,0.026009,0.074006,0.112475,0.131876,0.131121,1.365794,1.365421,1.365863,1.365451,1.366025,1.364503,1.365232,1.366055,1.365659,1.365388,1.365769,1.366094,1.365541,1.365577
39.000000,35.320137,0.969797,-0.335642,-0.536483,-0.715540,-0.864099,-0.850911,-0.749961,-0.631684,-0.468770,-0.059723,-0.097719,-0.114435,-0.076258,0.025902,0.074043,0.112436,0.131820,0.131173,1.363830,1.363378,1.364012,1.363621,1.363957,1.362550,1.363318,1.364033,1.363711,1.363426,1.363810,1.364120,1.363644,1.363583
40.000000,35.318638,0.967796,-0.334673,-0.535327,-0.713994,-0.862412,-0.849310,-0.748779,-0.630826,-0.470637,-0.060038,-0.098598,-0.115280,-0.077021,0.025106,0.073189,0.111575,0.130840,0.130252,1.361911,1.361395,1.362061,1.361807,1.362129,1.360681,1.361307,1.362098,1.361715,1.361595,1.361892,1.362094,1.361626,1.361638
41.000000,35.317364,0.968420,-0.335596,-0.535932,-0.714081,-0.862248,-0.849117,-0.748329,-0.630244,-0.471368,-0.059641,-0.096404,-0.113323,-0.075390,0.026325,0.074385,0.112885,0.131899,0.131356,1.362002,1.361451,1.362029,1.361833,1.362367,1.360773,1.361375,1.362229,1.361789,1.361680,1.362020,1.362157,1.361714,1.361805
42.000000,35.315956,0.968234,-0.336749,-0.537410,-0.715443,-0.863812,-0.850559,-0.749777,-0.631789,-0.469465,-0.060422,-0.096890,-0.113978,-0.075850,0.025993,0.073780,0.112378,0.131450,0.130827,1.362273,1.361857,1.362322,1.362071,1.362660,1.361080,1.361738,1.362654,1.362248,1.362004,1.362354,1.362529,1.362180,1.362240
43.000000,35.314865,0.968160,-0.336613,-0.537687,-0.715957,-0.864705,-0.851444,-0.750777,-0.632957,-0.470064,-0.060950,-0.098484,-0.115583,-0.076936,0.025128,0.072806,0.111260,0.130548,0.129863,1.362693,1.362104,1.362655,1.362310,1.362807,1.361344,1.362057,1.362943,1.362637,1.362237,1.362557,1.362845,1.362466,1.362543
44.000000,35.314041,0.970712,-0.336256,-0.537101,-0.715818,-0.864392,-0.851418,-0.750225,-0.631692,-0.467219,-0.058776,-0.096062,-0.113105,-0.074869,0.026894,0.075280,0.113888,0.132868,0.132306,1.363826,1.363057,1.363606,1.363306,1.363676,1.362293,1.362960,1.363854,1.363639,1.363158,1.363439,1.363887,1.363446,1.363598
45.000000,35.313339,0.968389,-0.336062,-0.536175,-0.714576,-0.862606,-0.849635,-0.748537,-0.630167,-0.467109,-0.058953,-0.095376,-0.112391,-0.074546,0.026981,0.075234,0.113978,0.132856,0.132100,1.359782,1.358913,1.359612,1.359205,1.359708,1.358338,1.358999,1.359790,1.359736,1.359207,1.359320,1.359915,1.359385,1.359582
46.000000,35.311668,0.965412,-0.336446,-0.536645,-0.714550,-0.862906,-0.849844,-0.749445,-0.631829,-0.469872,-0.062458,-0.098591,-0.115372,-0.077232,0.024647,0.072365,0.110654,0.129997,0.128844,1.359597,1.358708,1.359432,1.359035,1.359563,1.358134,1.358870,1.359524,1.359482,1.358880,1.359029,1.359592,1.359001,1.359247
47.000000,35.311691,0.968473,-0.337978,-0.539194,-0.717645,-0.867061,-0.853835,-0.753244,-0.635608,-0.470229,-0.063851,-0.100770,-0.117393,-0.078988,0.023696,0.071305,0.109486,0.129022,0.127824,1.365385,1.364582,1.365260,1.365108,1.365465,1.364023,1.364722,1.365458,1.365406,1.364805,1.365008,1.365460,1.364949,1.365084
48.000000,35.311882,0.973615,-0.338521,-0.539892,-0.719429,-0.868773,-0.855462,-0.753815,-0.635498,-0.470002,-0.060862,-0.098009,-0.114899,-0.076593,0.025929,0.074218,0.112355,0.131710,0.131150,1.368566,1.367870,1.368485,1.368400,1.368715,1.367291,1.367918,1.368808,1.368502,1.368147,1.368347,1.368645,1.368395,1.368299
49.000000,35.310745,0.973847,-0.336928,-0.538040,-0.717606,-0.866641,-0.853422,-0.751724,-0.633133,-0.471357,-0.058946,-0.096137,-0.113099,-0.074976,0.027278,0.075932,0.114076,0.133244,0.133014,1.367459,1.366703,1.367333,1.367084,1.367556,1.366083,1.366717,1.367714,1.367264,1.366927,1.367147,1.367406,1.367074,1.367197
50.000000,35.308159,0.970449,-0.335834,-0.536745,-0.715850,-0.864799,-0.851462,-0.750353,-0.632078,-0.474053,-0.059961,-0.096898,-0.113736,-0.075737,0.026622,0.074970,0.113385,0.132365,0.131853,1.363580,1.362820,1.363340,1.363147,1.363709,1.362248,1.362878,1.363834,1.363436,1.363165,1.363345,1.363610,1.363149,1.363444
51.000000,35.307560,0.968642,-0.335418,-0.536144,-0.714977,-0.863827,-0.850440,-0.749771,-0.631866,-0.473085,-0.060635,-0.097879,-0.114613,-0.076475,0.025861,0.073900,0.112254,0.131299,0.130626,1.360769,1.360112,1.360515,1.360431,1.360916,1.359523,1.360138,1.361106,1.360794,1.360545,1.360644,1.361004,1.360418,1.360838
52.000000,35.307362,0.969601,-0.336175,-0.536918,-0.715638,-0.864540,-0.851128,-0.750358,-0.632485,-0.469955,-0.060352,-0.097897,-0.114589,-0.076371,0.025761,0.073851,0.112094,0.131135,0.130576,1.361605,1.361126,1.361331,1.361359,1.361864,1.360384,1.361043,1.362029,1.361879,1.361427,1.361712,1.361962,1.361451,1.361810
